Postal code,Town,City/Town/Subdivision,Subdivision of
1980,Zemst,Gemeente,
1981,Hofstade,Deelgemeente,1980 Zemst
1982,Weerde,Deelgemeente,1980 Zemst
1982,Elewijt,Deelgemeente,1980 Zemst
3000,Leuven,Stad,
3001,Heverlee,Deelgemeente,3000 Leuven
3010,Kessel-Lo,Deelgemeente,3000 Leuven
3012,Wilsele,Deelgemeente,3000 Leuven
3018,Wijgmaal,,
3020,Herent,Gemeente,
3020,Winksele,Deelgemeente,3020 Herent
3020,Veltem-beisem,Deelgemeente,3020 Herent
3040,Huldenberg,Gemeente,
3040,Sint-agatha-rode,Deelgemeente,3040 Huldenberg
3040,Neerijse,Deelgemeente,3040 Huldenberg
3040,Loonbeek,Deelgemeente,3040 Huldenberg
3040,Ottenburg,Deelgemeente,3040 Huldenberg
3050,Oud-Heverlee,Gemeente,
3051,Sint-Joris-Weert,Deelgemeente,3050 Oud-Heverlee
3052,Blanden,Deelgemeente,3050 Oud-Heverlee
3053,Haasrode,Deelgemeente,3050 Oud-Heverlee
3054,Vaalbeek,Deelgemeente,3050 Oud-Heverlee
3060,Korbeek-Dijle,Deelgemeente,3060 Bertem
3060,Bertem,Gemeente,
3061,Leefdaal,Deelgemeente,3060 Bertem
3070,Kortenberg,Gemeente,
3071,Erps-kwerps,Deelgemeente,3070 Kortenberg
3078,Meerbeek,Deelgemeente,3070 Kortenberg
3078,Everberg,Deelgemeente,3070 Kortenberg
3080,Tervuren,Gemeente,
3080,Duisburg,Deelgemeente,3080 Tervuren
3080,Vossem,Deelgemeente,3080 Tervuren
3090,Overijse,Gemeente,
3110,Rotselaar,Gemeente,
3111,Wezemaal,Deelgemeente,3110 Rotselaar
3118,Werchter,Deelgemeente,3110 Rotselaar
3120,Tremelo,Gemeente,
3128,Baal,Deelgemeente,3120 Tremelo
3130,Betekom,Deelgemeente,3130 Begijnendijk
3130,Begijnendijk,Gemeente,
3140,Keerbergen,Gemeente,
3150,Haacht,Gemeente,
3150,Tildonk,Deelgemeente,3150 Haacht
3150,Wespelaar,Deelgemeente,3150 Haacht
3190,Boortmeerbeek,,
3191,Hever,,3190 Boortmeerbeek
3200,Gelrode,Deelgemeente,3200 Aarschot
3200,Aarschot,Stad,
3201,Langdorp,Deelgemeente,3200 Aarschot
3202,Rillaar,Deelgemeente,3200 Aarschot
3210,Lubbeek,Gemeente,
3210,Linden,Deelgemeente,3210 Lubbeek
3211,Binkom,Deelgemeente,3210 Lubbeek
3212,Pellenberg,Deelgemeente,3210 Lubbeek
3220,Sint-pieters-rode,Deelgemeente,3220 Holsbeek
3220,Kortrijk-dutsel,Deelgemeente,3220 Holsbeek
3220,Holsbeek,Gemeente,
3221,Nieuwrode,Deelgemeente,3220 Holsbeek
3270,Scherpenheuvel,Deelgemeente,3270 Scherpenheuvel-Zichem
3270,Scherpenheuvel-Zichem,Stad,
3271,Averbode,Deelgemeente,3270 Scherpenheuvel-Zichem
3271,Zichem,Deelgemeente,3270 Scherpenheuvel-Zichem
3272,Messelbroek,Deelgemeente,3270 Scherpenheuvel-Zichem
3272,Testelt,Deelgemeente,3270 Scherpenheuvel-Zichem
3290,Webbekom,Deelgemeente,3290 Diest
3290,Schaffen,Deelgemeente,3290 Diest
3290,Deurne,Deelgemeente,3290 Diest
3290,Diest,Stad,
3293,Kaggevinne,Deelgemeente,3290 Diest
3294,Molenstede,Deelgemeente,3290 Diest
3300,Oplinter,Deelgemeente,3300 Tienen
3300,Oorbeek,Deelgemeente,3390 Tielt
3300,Bost,Deelgemeente,3300 Tienen
3300,Sint-Margriete-Houtem,Deelgemeente,3300 Tienen
3300,Vissenaken,Deelgemeente,3300 Tienen
3300,Hakendover,Deelgemeente,3300 Tienen
3300,Tienen,Stad,
3300,Goetsenhoven,Deelgemeente,3300 Tienen
3300,Kumtich,Deelgemeente,3300 Tienen
3320,Meldert,Deelgemeente,3320 Hoegaarden
3320,Hoegaarden,Gemeente,
3321,Outgaarden,Deelgemeente,3320 Hoegaarden
3350,Drieslinter,Deelgemeente,3350 Linter
3350,Linter,Gemeente,
3350,Neerhespen,Deelgemeente,3350 Linter
3350,Orsmaal-gussenhoven,Deelgemeente,3350 Linter
3350,Melkwezer,Deelgemeente,3350 Linter
3350,Neerlinter,Deelgemeente,3350 Linter
3350,Wommersom,Deelgemeente,3350 Linter
3350,Overhespen,Deelgemeente,3350 Linter
3360,Opvelp,Deelgemeente,3360 Bierbeek
3360,Korbeek-Lo,Deelgemeente,3360 Bierbeek
3360,Bierbeek,Gemeente,
3360,Lovenjoel,Deelgemeente,3360 Bierbeek
3370,Boutersem,,
3370,Neervelp,,3370 Boutersem
3370,Roosbeek,,3370 Boutersem
3370,Vertrijk,,3370 Boutersem
3370,Kerkom,,3370 Boutersem
3370,Willebringen,,3370 Boutersem
3380,Glabbeek-Zuurbemde,Deelgemeente,3380 Glabbeek
3380,Bunsbeek,Deelgemeente,3380 Glabbeek
3380,Glabbeek,Gemeente,
3381,Kapellen,Deelgemeente,3380 Glabbeek
3384,Attenrode,Deelgemeente,3380 Glabbeek
3390,Sint-Joris-Winge,Deelgemeente,3390 Tielt-Winge
3390,Houwaart,Deelgemeente,3390 Tielt-Winge
3390,Tielt-Winge,Gemeente,
3390,Tielt,Deelgemeente,3390 Tielt-Winge
3391,Meensel-Kiezegem,Deelgemeente,3390 Tielt-Winge
3400,Wange,Deelgemeente,3400 Landen
3400,Ezemaal,Deelgemeente,3400 Landen
3400,Overwinden,Deelgemeente,3400 Landen
3400,Landen,Stad,
3400,Eliksem,Deelgemeente,3400 Landen
3400,Neerwinden,Deelgemeente,3400 Landen
3400,Rumsdorp,Deelgemeente,3400 Landen
3400,Laar,Deelgemeente,3400 Landen
3401,Walshoutem,Deelgemeente,3400 Landen
3401,Wezeren,Deelgemeente,3400 Landen
3401,Waasmont,Deelgemeente,3400 Landen
3401,Walsbets,Deelgemeente,3400 Landen
3404,Attenhoven,Deelgemeente,3400 Landen
3404,Neerlanden,Deelgemeente,3400 Landen
3440,Helen-Bos,Deelgemeente,3440 Zoutleeuw
3440,Dormaal,Deelgemeente,3440 Zoutleeuw
3440,Budingen,Deelgemeente,3440 Zoutleeuw
3440,Halle-Booienhoven,Deelgemeente,3440 Zoutleeuw
3440,Zoutleeuw,Stad,
3450,Grazen,Deelgemeente,3450 Geetbets
3450,Geetbets,Gemeente,
3454,Rummen,Deelgemeente,3450 Geetbets
3460,Assent,Deelgemeente,3460 Bekkevoort
3460,Bekkevoort,Gemeente,
3461,Molenbeek-Wersbeek,Deelgemeente,3460 Bekkevoort
3470,Sint-margriete-houtem,,
3470,Kortenaken,Gemeente,
3470,Ransberg,Deelgemeente,3470 Kortenaken
3471,Hoeleden,Deelgemeente,3470 Kortenaken
3472,Kersbeek-miskom,Deelgemeente,3470 Kortenaken
3473,Waanrode,Deelgemeente,3470 Kortenaken
1300,Limal,,
1300,Wavre,,
1301,Bierges,,
1310,La hulpe,,
1315,Piètrebais,,
1315,Opprebais,,
1315,Incourt,,
1315,Roux-miroir,,
1315,Glimes,,
1320,Beauvechain,,
1320,Hamme-mille,,
1320,L'ecluse,,
1320,Nodebais,,
1320,Tourinnes-la-grosse,,
1325,Dion-valmont,,
1325,Longueville,,
1325,Chaumont-gistoux,,
1325,Bonlez,,
1325,Corroy-le-grand,,
1330,Rixensart,,
1331,Rosières,,
1332,Genval,,
1340,Ottignies,,
1340,Ottignies-louvain-la-neuve,,
1341,Céroux-mousty,,
1342,Limelette,,
1348,Louvain-la-neuve,,
1350,Jauche,,
1350,Enines,,
1350,Folx-les-caves,,
1350,Orp-jauche,,
1350,Orp-le-grand,,
1350,Marilles,,
1350,Noduwez,,
1350,Jandrain-jandrenouille,,
1357,Linsmeau,,
1357,Opheylissem,,
1357,Hélécine,,
1357,Neerheylissem,,
1360,Orbais,,
1360,Thorembais-les-béguines,,
1360,Malèves-sainte-marie-wastines,,
1360,Thorembais-saint-trond,,
1360,Perwez,,
1367,Grand-rosière-hottomont,,
1367,Mont-saint-andré,,
1367,Geest-gérompont-petit-rosière,,
1367,Ramillies,,
1367,Bomal,,
1367,Huppaye,,
1367,Autre-eglise,,
1367,Gérompont,,
1370,Piétrain,,
1370,Saint-jean-geest,,
1370,Dongelberg,,
1370,Saint-remy-geest,,
1370,Jauchelette,,
1370,Jodoigne,,
1370,Jodoigne-souveraine,,
1370,Lathuy,,
1370,Zétrud-lumay,,
1370,Mélin,,
1380,Plancenoit,,
1380,Lasne,,
1380,Maransart,,
1380,Lasne-chapelle-saint-lambert,,
1380,Couture-saint-germain,,
1380,Ohain,,
1390,Grez-doiceau,,
1390,Biez,,
1390,Nethen,,
1390,Archennes,,
1390,Bossut-gottechain,,
1400,Monstreux,,
1400,Nivelles,,
1401,Baulers,,
1402,Thines,,
1404,Bornival,,
1410,Waterloo,,
1420,Braine-l'alleud,,
1421,Ophain-bois-seigneur-isaac,,
1428,Lillois-witterzée,,
1430,Bierghes,,
1430,Quenast,,
1430,Rebecq,,
1430,Rebecq-rognon,,
1435,Mont-saint-guibert,,
1435,Hévillers,,
1435,Corbais,,
1440,Wauthier-braine,,
1440,Braine-le-château,,
1450,Chastre,,
1450,Chastre-villeroux-blanmont,,
1450,Gentinnes,,
1450,Cortil-noirmont,,
1450,Saint-géry,,
1457,Walhain,,
1457,Walhain-saint-paul,,
1457,Nil-saint-vincent-saint-martin,,
1457,Tourinnes-saint-lambert,,
1460,Virginal-samme,,
1460,Ittre,,
1461,Haut-ittre,,
1470,Genappe,,
1470,Bousval,,
1470,Baisy-thy,,
1471,Loupoigne,,
1472,Vieux-genappe,,
1473,Glabais,,
1474,Ways,,
1476,Houtain-le-val,,
1480,Oisquercq,,
1480,Saintes,,
1480,Clabecq,,
1480,Tubize,,
1490,Court-saint-etienne,,
1495,Mellery,,
1495,Villers-la-ville,,
1495,Sart-dames-avelines,,
1495,Tilly,,
1495,Marbais,,
8000,Brugge,Stad,
8000,Koolkerke,Deelgemeente,8000 Brugge
8020,Ruddervoorde,Deelgemeente,8020 Oostkamp
8020,Waardamme,Deelgemeente,8020 Oostkamp
8020,Oostkamp,Gemeente,
8020,Hertsberge,Deelgemeente,8020 Oostkamp
8200,Sint-michiels,Deelgemeente,8000 Brugge
8200,Sint-andries,Deelgemeente,8000 Brugge
8210,Veldegem,Deelgemeente,8210 Zedelgem
8210,Loppem,Deelgemeente,8210 Zedelgem
8210,Zedelgem,Gemeente,
8211,Aartrijke,Deelgemeente,8210 Zedelgem
8300,Westkapelle,Deelgemeente,8300 Knokke-Heist
8300,Knokke,Deelgemeente,8300 Knokke-Heist
8300,Knokke-Heist,Gemeente,
8301,Ramskapelle,Deelgemeente,8300 Knokke-Heist
8301,Heist-aan-zee,Deelgemeente,8300 Knokke-Heist
8310,Sint-kruis,Deelgemeente,8000 Brugge
8310,Assebroek,Deelgemeente,8000 Brugge
8340,Damme,Stad,
8340,Moerkerke,Deelgemeente,8340 Damme
8340,Hoeke,Deelgemeente,8340 Damme
8340,Oostkerke,Deelgemeente,8340 Damme
8340,Sijsele,Deelgemeente,8340 Damme
8340,Lapscheure,Deelgemeente,8340 Damme
8370,Blankenberge,Stad,
8370,Uitkerke,Deelgemeente,8370 Blankenberge
8377,Nieuwmunster,Deelgemeente,8377 Zuienkerke
8377,Houtave,Deelgemeente,8377 Zuienkerke
8377,Meetkerke,Deelgemeente,8377 Zuienkerke
8377,Zuienkerke,Gemeente,
8380,Dudzele,Deelgemeente,8000 Brugge
8380,Zeebrugge,,
8380,Lissewege,Deelgemeente,8000 Brugge
8400,Oostende,Stad,
8400,Zandvoorde,Deelgemeente,8400 Oostende
8400,Stene,Deelgemeente,8400 Oostende
8420,Klemskerke,Deelgemeente,8420 De haan
8420,De haan,Gemeente,
8420,Wenduine,Deelgemeente,8420 De haan
8421,Vlissegem,Deelgemeente,8420 De haan
8430,Middelkerke,Gemeente,
8431,Wilskerke,Deelgemeente,8430 Middelkerke
8432,Leffinge,Deelgemeente,8430 Middelkerke
8433,Mannekensvere,Deelgemeente,8430 Middelkerke
8433,Schore,Deelgemeente,8430 Middelkerke
8433,Sint-Pieters-Kapelle,Deelgemeente,8430 Middelkerke
8433,Slijpe,Deelgemeente,8430 Middelkerke
8434,Lombardsijde,Deelgemeente,8430 Middelkerke
8434,Westende,Deelgemeente,8430 Middelkerke
8450,Bredene,Gemeente,
8460,Westkerke,Deelgemeente,8460 Oudenburg
8460,Oudenburg,Stad,
8460,Ettelgem,Deelgemeente,8460 Oudenburg
8460,Roksem,Deelgemeente,8460 Oudenburg
8470,Zevekote,Deelgemeente,8470 Gistel
8470,Moere,Deelgemeente,8470 Gistel
8470,Snaaskerke,Deelgemeente,8470 Gistel
8470,Gistel,Stad,
8480,Eernegem,Deelgemeente,8480 Ichtegem
8480,Bekegem,Deelgemeente,8480 Ichtegem
8480,Ichtegem,Gemeente,
8490,Snellegem,Deelgemeente,8490 Jabbeke
8490,Varsenare,Deelgemeente,8490 Jabbeke
8490,Stalhille,Deelgemeente,8490 Jabbeke
8490,Jabbeke,Gemeente,
8490,Zerkegem,Deelgemeente,8490 Jabbeke
8500,Kortrijk,Stad,
8501,Heule,Deelgemeente,8500 Kortrijk
8501,Bissegem,Deelgemeente,8500 Kortrijk
8510,Marke,Deelgemeente,8500 Kortrijk
8510,Bellegem,Deelgemeente,8500 Kortrijk
8510,Kooigem,Deelgemeente,8500 Kortrijk
8510,Rollegem,Deelgemeente,8500 Kortrijk
8511,Aalbeke,Deelgemeente,8500 Kortrijk
8520,Kuurne,Gemeente,
8530,Harelbeke,Stad,
8531,Bavikhove,Deelgemeente,8530 Harelbeke
8531,Hulste,Deelgemeente,8530 Harelbeke
8540,Deerlijk,Gemeente,
8550,Zwevegem,Gemeente,
8551,Heestert,Deelgemeente,8550 Zwevegem
8552,Moen,Deelgemeente,8550 Zwevegem
8553,Otegem,Deelgemeente,8550 Zwevegem
8554,Sint-Denijs,Deelgemeente,8550 Zwevegem
8560,Moorsele,Deelgemeente,8560 Wevelgem
8560,Gullegem,Deelgemeente,8560 Wevelgem
8560,Wevelgem,Gemeente,
8570,Ingooigem,Deelgemeente,8570 Anzegem
8570,Gijzelbrechtegem,Deelgemeente,8570 Anzegem
8570,Vichte,Deelgemeente,8570 Anzegem
8570,Anzegem,Deelgemeente,
8572,Kaster,Deelgemeente,8570 Anzegem
8573,Tiegem,Deelgemeente,8570 Anzegem
8580,Avelgem,Gemeente,
8581,Waarmaarde,Deelgemeente,8580 Avelgem
8581,Kerkhove,Deelgemeente,8580 Avelgem
8582,Outrijve,Deelgemeente,8580 Avelgem
8583,Bossuit,Deelgemeente,8580 Avelgem
8587,Spiere,Deelgemeente,8587 Spiere-Helkijn
8587,Spiere-Helkijn,Gemeente,
8587,Helkijn,Deelgemeente,8587 Spiere-Helkijn
8600,Oudekapelle,Deelgemeente,8600 Diksmuide
8600,Beerst,Deelgemeente,8600 Diksmuide
8600,Leke,Deelgemeente,8600 Diksmuide
8600,Woumen,Deelgemeente,8600 Diksmuide
8600,Nieuwkapelle,Deelgemeente,8600 Diksmuide
8600,Pervijze,Deelgemeente,8600 Diksmuide
8600,Lampernisse,Deelgemeente,8600 Diksmuide
8600,Kaaskerke,Deelgemeente,8600 Diksmuide
8600,Oostkerke,Deelgemeente,8600 Diksmuide
8600,Diksmuide,Stad,
8600,Esen,Deelgemeente,8600 Diksmuide
8600,Vladslo,Deelgemeente,8600 Diksmuide
8600,Stuivekenskerke,Deelgemeente,8600 Diksmuide
8600,Sint-jacobs-kapelle,Deelgemeente,8600 Diksmuide
8600,Driekapellen,,
8600,Keiem,Deelgemeente,8600 Diksmuide
8610,Kortemark,Gemeente,
8610,Handzame,Deelgemeente,8610 Kortemark
8610,Zarren,Deelgemeente,8610 Kortemark
8610,Werken,Deelgemeente,8610 Kortemark
8620,Ramskapelle,Deelgemeente,8620 Nieuwpoort
8620,Nieuwpoort,Stad,
8620,Sint-joris,Deelgemeente,8620 Nieuwpoort
8630,Houtem,Deelgemeente,8630 Veurne
8630,Eggewaartskapelle,Deelgemeente,8630 Veurne
8630,Booitshoeke,Deelgemeente,8630 Veurne
8630,Zoutenaaie,Deelgemeente,8630 Veurne
8630,Veurne,Stad,
8630,Steenkerke,Deelgemeente,8630 Veurne
8630,De Moeren,Deelgemeente,8630 Veurne
8630,Bulskamp,Deelgemeente,8630 Veurne
8630,Avekapelle,Deelgemeente,8630 Veurne
8630,Wulveringem,Deelgemeente,8630 Veurne
8630,Vinkem,Deelgemeente,8630 Veurne
8640,Vleteren,Gemeente,
8640,Westvleteren,Deelgemeente,8640 Vleteren
8640,Woesten,Deelgemeente,8640 Vleteren
8640,Oostvleteren,Deelgemeente,8640 Vleteren
8647,Reninge,Deelgemeente,8647 Lo-Reninge
8647,Lo,Deelgemeente,8647 Lo-Reninge
8647,Noordschote,Deelgemeente,8647 Lo-Reninge
8647,Lo-Reninge,Stad,
8647,Pollinkhove,Deelgemeente,8647 Lo-Reninge
8650,Klerken,Deelgemeente,8650 Houthulst
8650,Merkem,Deelgemeente,8650 Houthulst
8650,Houthulst,Gemeente,
8660,Adinkerke,Deelgemeente,8660 De panne
8660,De panne,Gemeente,
8670,Wulpen,Deelgemeente,8670 Koksijde
8670,Koksijde,Gemeente,
8670,Oostduinkerke,Deelgemeente,8670 Koksijde
8680,Bovekerke,Deelgemeente,8680 Koekelare
8680,Zande,Deelgemeente,8680 Koekelare
8680,Koekelare,Gemeente,
8690,Alveringem,Gemeente,
8690,Hoogstade,Deelgemeente,8690 Alveringem
8690,Sint-Rijkers,Deelgemeente,8690 Alveringem
8690,Oeren,Deelgemeente,8690 Alveringem
8691,Gijverinkhove,Deelgemeente,8690 Alveringem
8691,Leisele,Deelgemeente,8690 Alveringem
8691,Stavele,Deelgemeente,8690 Alveringem
8691,Beveren-aan-de-ijzer,Deelgemeente,8690 Alveringem
8691,Izenberge,Deelgemeente,8690 Alveringem
8700,Aarsele,Deelgemeente,8700 Tielt
8700,Schuiferskapelle,Deelgemeente,8700 Tielt
8700,Kanegem,Deelgemeente,8700 Tielt
8700,Tielt,Stad,
8710,Sint-Baafs-Vijve,Deelgemeente,8710 Wielsbeke
8710,Wielsbeke,Gemeente,
8710,Ooigem,Deelgemeente,8710 Wielsbeke
8720,Markegem,Deelgemeente,8720 Dentergem
8720,Wakken,Deelgemeente,8720 Dentergem
8720,Dentergem,Gemeente,
8720,Oeselgem,Deelgemeente,8720 Dentergem
8730,Oedelem,Deelgemeente,8730 Beernem
8730,Sint-Joris,Deelgemeente,8730 Beernem
8730,Beernem,Gemeente,
8740,Egem,Deelgemeente,8740 Pittem
8740,Pittem,Gemeente,
8750,Zwevezele,Deelgemeente,8750 Wingene
8750,Wingene,Gemeente,
8755,Ruiselede,Gemeente,
8760,Meulebeke,Gemeente,
8770,Ingelmunster,Gemeente,
8780,Oostrozebeke,Gemeente,
8790,Waregem,,
8791,Beveren,Deelgemeente,8790 Waregem
8792,Desselgem,Deelgemeente,8790 Waregem
8793,Sint-Eloois-Vijve,Deelgemeente,8790 Waregem
8800,Rumbeke,Deelgemeente,8800 Roeselare
8800,Beveren,Deelgemeente,8800 Roeselare
8800,Roeselare,Gemeente,
8800,Oekene,Deelgemeente,8800 Roeselare
8810,Lichtervelde,Gemeente,
8820,Torhout,Stad,
8830,Gits,Deelgemeente,8830 Hooglede
8830,Hooglede,Gemeente,
8840,Staden,Gemeente,
8840,Westrozebeke,Deelgemeente,8840 Staden
8840,Oostnieuwkerke,Deelgemeente,8840 Staden
8850,Ardooie,Gemeente,
8851,Koolskamp,Deelgemeente,8850 Ardooie
8860,Lendelede,Gemeente,
8870,Izegem,Stad,
8870,Emelgem,Deelgemeente,8870 Izegem
8870,Kachtem,Deelgemeente,8870 Izegem
8880,Sint-eloois-winkel,Deelgemeente,8880 Ledegem
8880,Ledegem,Gemeente,
8880,Rollegem-kapelle,Deelgemeente,8880 Ledegem
8890,Moorslede,Gemeente,
8890,Dadizele,Deelgemeente,8890 Moorslede
8900,Dikkebus,Deelgemeente,8900 Ieper
8900,Brielen,Deelgemeente,8900 Ieper
8900,Ieper,Stad,
8900,Sint-jan,Deelgemeente,8900 Ieper
8902,Zillebeke,Deelgemeente,8900 Ieper
8902,Hollebeke,Deelgemeente,8900 Ieper
8902,Voormezele,Deelgemeente,8900 Ieper
8904,Boezinge,Deelgemeente,8900 Ieper
8904,Zuidschote,Deelgemeente,8900 Ieper
8906,Elverdinge,Deelgemeente,8900 Ieper
8908,Vlamertinge,Deelgemeente,8900 Ieper
8920,Langemark,Deelgemeente,8920 Langemark-Poelkapelle
8920,Langemark-Poelkapelle,Gemeente,
8920,Poelkapelle,Deelgemeente,8920 Langemark-Poelkapelle
8920,Bikschote,Deelgemeente,8920 Langemark-Poelkapelle
8930,Rekkem,Deelgemeente,8930 Menen
8930,Menen,Stad,
8930,Lauwe,Deelgemeente,8930 Menen
8940,Geluwe,Deelgemeente,8940 Wervik
8940,Wervik,Stad,
8950,Heuvelland,Gemeente,
8950,Nieuwkerke,Deelgemeente,8950 Heuvelland
8951,Dranouter,Deelgemeente,8950 Heuvelland
8952,Wulvergem,Deelgemeente,8950 Heuvelland
8953,Wijtschate,Deelgemeente,8950 Heuvelland
8954,Westouter,Deelgemeente,8950 Heuvelland
8956,Kemmel,Deelgemeente,8950 Heuvelland
8957,Mesen,Gemeente,
8958,Loker,Deelgemeente,8950 Heuvelland
8970,Reningelst,Deelgemeente,8970 Poperinge
8970,Poperinge,Stad,
8972,Proven,Deelgemeente,8970 Poperinge
8972,Krombeke,Deelgemeente,8970 Poperinge
8972,Roesbrugge-haringe,Deelgemeente,8970 Poperinge
8978,Watou,Deelgemeente,8970 Poperinge
8980,Zandvoorde,Deelgemeente,8980 Zonnebeke
8980,Passendale,Deelgemeente,8980 Zonnebeke
8980,Zonnebeke,Gemeente,
8980,Beselare,Deelgemeente,8980 Zonnebeke
8980,Geluveld,Deelgemeente,8980 Zonnebeke
